id_oferty;id_firmy;okres_umowy;grupa_okresu;nazwa_oferty;predkosc_pobierania;predkosc_wysylania;grupa_porownawcza_internet;nazwa_pakietu;liczba_kanalow;grupa_porownawcza_telewizja;dodatki;uwagi;okres_od_1;okres_do_1;cena_1;okres_od_2;okres_do_2;cena_2;okres_od_3;okres_do_3;cena_3
18;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);120;10;120;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;159.56;2;24;164.55;;;
19;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);120;10;120;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;199.56;2;24;204.55;;;
20;CHOPIN;24;24;Dla Dwojga (z HBO);120;10;120;M Box;184;184;SMART M - 84 kanały, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;174.46;2;24;179.45;;;
21;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);120;10;120;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;199.46;2;24;204.45;;;
22;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);120;10;120;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;239.46;2;24;244.45;;;
23;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);120;10;120;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;185.56;2;24;190.55;;;
24;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);120;10;120;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;225.56;2;24;230.55;;;
25;CHOPIN;24;24;Dla Dwojga (z HBO);120;10;120;L Box;236;236;SMART L - 136 kanałów, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;202.46;2;24;207.45;;;
26;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);120;10;120;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;225.46;2;24;230.45;;;
27;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);120;10;120;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;265.46;2;24;270.45;;;
28;CHOPIN;24;24;Dla Dwojga;120;10;120;XXL Box;256;256;SMART L - 136 kanałów;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;246.56;2;24;251.55;;;
29;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);300;15;300;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;138.56;2;24;143.55;;;
30;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);300;15;300;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;178.56;2;24;183.55;;;
31;CHOPIN;24;24;Dla Dwojga (z HBO);300;15;300;Start Box;129;129;SMART M - 84 kanały, HBO;cena z rabatem za e-fakturę;1;1;153.46;2;24;158.45;;;
32;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);300;15;300;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;178.46;2;24;183.45;;;
33;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);300;15;300;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;218.46;2;24;223.45;;;
34;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);300;15;300;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;164.56;2;24;169.55;;;
35;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);300;15;300;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;204.56;2;24;209.55;;;
36;CHOPIN;24;24;Dla Dwojga (z HBO);300;15;300;M Box;184;184;SMART M - 84 kanały, HBO;cena z rabatem za e-fakturę;1;1;179.46;2;24;184.45;;;
37;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);300;15;300;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;204.46;2;24;209.45;;;
38;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);300;15;300;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;244.46;2;24;249.45;;;
39;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);300;15;300;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;189.56;2;24;195.55;;;
40;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);300;15;300;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;230.56;2;24;235.55;;;
41;CHOPIN;24;24;Dla Dwojga (z HBO);300;15;300;L Box;236;236;SMART L - 136 kanałów, HBO;cena z rabatem za e-fakturę;1;1;207.46;2;24;212.45;;;
42;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);300;15;300;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;230.46;2;24;235.45;;;
43;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);300;15;300;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;270.46;2;24;275.45;;;
44;CHOPIN;24;24;Dla Dwojga;300;15;300;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;251.56;2;24;256.55;;;
45;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);650;30;650;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;143.56;2;24;148.55;;;
46;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);650;30;650;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;183.56;2;24;188.55;;;
47;CHOPIN;24;24;Dla Dwojga (z HBO);650;30;650;Start Box;129;129;SMART M - 84 kanały, HBO;cena z rabatem za e-fakturę;1;1;158.46;2;24;163.45;;;
48;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);650;30;650;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;183.46;2;24;188.45;;;
49;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);650;30;650;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;223.46;2;24;228.45;;;
50;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);650;30;650;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;169.56;2;24;174.55;;;
51;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);650;30;650;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;209.56;2;24;214.55;;;
52;CHOPIN;24;24;Dla Dwojga (z HBO);650;30;650;M Box;184;184;SMART M - 84 kanały, HBO;cena z rabatem za e-fakturę;1;1;184.46;2;24;189.45;;;
53;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);650;30;650;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;209.46;2;24;214.45;;;
54;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);650;30;650;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;249.46;2;24;254.45;;;
55;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);650;30;650;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;195.56;2;24;200.55;;;
56;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);650;30;650;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;235.56;2;24;240.55;;;
57;CHOPIN;24;24;Dla Dwojga (z HBO);650;30;650;L Box;236;236;SMART L - 136 kanałów, HBO;cena z rabatem za e-fakturę;1;1;212.46;2;24;217.45;;;
58;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);650;30;650;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;235.46;2;24;240.45;;;
59;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);650;30;650;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;275.46;2;24;280.45;;;
60;CHOPIN;24;24;Dla Dwojga;650;30;650;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;256.56;2;24;261.55;;;
61;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);800;40;800;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;179.56;2;24;184.55;;;
62;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);800;40;800;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;219.56;2;24;224.55;;;
63;CHOPIN;24;24;Dla Dwojga (z HBO);800;40;800;Start Box;129;129;SMART M - 84 kanały, HBO;cena z rabatem za e-fakturę;1;1;194.46;2;24;199.45;;;
64;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);800;40;800;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;219.46;2;24;224.45;;;
65;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);800;40;800;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;265.46;2;24;264.45;;;
66;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);800;40;800;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;205.56;2;24;210.55;;;
67;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);800;40;800;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;245.56;2;24;250.55;;;
68;CHOPIN;24;24;Dla Dwojga (z HBO);800;40;800;M Box;184;184;SMART M - 84 kanały, HBO;cena z rabatem za e-fakturę;1;1;220.46;2;24;225.45;;;
69;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);800;40;800;M Box;184;184;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;245.46;2;24;250.45;;;
70;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);800;40;800;M Box;184;184;SMART M - 84 kanały, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;285.46;2;24;290.45;;;
71;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);800;40;800;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;1;231.56;2;24;236.55;;;
72;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);800;40;800;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;1;271.56;2;24;276.55;;;
73;CHOPIN;24;24;Dla Dwojga (z HBO);800;40;800;L Box;236;236;SMART L - 136 kanałów, HBO;cena z rabatem za e-fakturę;1;1;248.46;2;24;253.45;;;
74;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);800;40;800;L Box;236;236;SMART L - 136 kanałów, CANAL+ Seriale i Filmy, HBO;cena z rabatem za e-fakturę;1;1;271.46;2;24;276.45;;;
75;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);800;40;800;L Box;236;236;SMART L - 136 kanałów, CANAL+ Super Sport, HBO;cena z rabatem za e-fakturę;1;1;311.46;2;24;316.45;;;
76;CHOPIN;24;24;Dla Dwojga;800;40;800;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;292.56;2;24;297.55;;;
77;CHOPIN;12;12;Super Box;120;10;120;Start Box;129;129;SMART M - 84 kanały;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;124.56;2;12;129.55;;;
78;CHOPIN;12;12;Super Box;120;10;120;M Box;184;184;SMART M - 84 kanały;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;158.56;2;12;163.55;;;
79;CHOPIN;12;12;Super Box;120;10;120;L Box;236;236;SMART L - 136 kanałów;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;183.56;2;12;188.55;;;
80;CHOPIN;12;12;Super Box;120;10;120;XXL Box;256;256;SMART L - 136 kanałów;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;269.56;2;12;274.55;;;
81;CHOPIN;12;12;Super Box;300;15;300;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;140.56;2;12;145.55;;;
82;CHOPIN;12;12;Super Box;300;15;300;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;174.56;2;12;179.55;;;
83;CHOPIN;12;12;Super Box;300;15;300;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;199.56;2;12;204.55;;;
84;CHOPIN;12;12;Super Box;300;15;300;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;285.56;2;12;290.55;;;
85;CHOPIN;12;12;Super Box;650;30;650;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;145.56;2;12;150.55;;;
86;CHOPIN;12;12;Super Box;650;30;650;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;179.56;2;12;184.55;;;
87;CHOPIN;12;12;Super Box;650;30;650;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;204.56;2;12;209.55;;;
88;CHOPIN;12;12;Super Box;650;30;650;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;290.56;2;12;295.55;;;
89;CHOPIN;12;12;Super Box;800;40;800;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;176.56;2;12;181.55;;;
90;CHOPIN;12;12;Super Box;800;40;800;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;210.56;2;12;215.55;;;
91;CHOPIN;12;12;Super Box;800;40;800;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;235.56;2;12;240.55;;;
92;CHOPIN;12;12;Super Box;800;40;800;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;321.56;2;12;326.55;;;
93;CHOPIN;24;24;Super Box;120;10;120;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;119.56;2;24;124.55;;;
94;CHOPIN;24;24;Super Box;120;10;120;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;148.56;2;24;153.55;;;
95;CHOPIN;24;24;Super Box;120;10;120;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;173.56;2;24;178.55;;;
96;CHOPIN;24;24;Super Box;120;10;120;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;259.56;2;24;264.55;;;
97;CHOPIN;24;24;Super Box;300;15;300;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;135.56;2;24;140.55;;;
98;CHOPIN;24;24;Super Box;300;15;300;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;164.56;2;24;169.55;;;
99;CHOPIN;24;24;Super Box;300;15;300;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;189.56;2;24;194.55;;;
100;CHOPIN;24;24;Super Box;300;15;300;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;275.56;2;24;280.55;;;
101;CHOPIN;24;24;Super Box;650;30;650;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;140.56;2;24;145.55;;;
102;CHOPIN;24;24;Super Box;650;30;650;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;169.56;2;24;174.55;;;
103;CHOPIN;24;24;Super Box;650;30;650;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;194.56;2;24;199.55;;;
104;CHOPIN;24;24;Super Box;650;30;650;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;280.56;2;24;285.55;;;
105;CHOPIN;24;24;Super Box;800;40;800;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;171.56;2;24;176.55;;;
106;CHOPIN;24;24;Super Box;800;40;800;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;200.56;2;24;205.55;;;
107;CHOPIN;24;24;Super Box;800;40;800;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;225.56;2;24;230.55;;;
108;CHOPIN;24;24;Super Box;800;40;800;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;311.56;2;24;316.55;;;
109;CHOPIN;12;12;Trzymaj z nami;120;10;120;Start Box;129;129;SMART M - 84 kanały;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;120.56;2;12;125.55;;;
110;CHOPIN;12;12;Trzymaj z nami;120;10;120;M Box;184;184;SMART M - 84 kanały;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;147.56;2;12;152.55;;;
111;CHOPIN;12;12;Trzymaj z nami;120;10;120;L Box;236;236;SMART L - 136 kanałów;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;173.56;2;12;178.55;;;
112;CHOPIN;12;12;Trzymaj z nami;120;10;120;XXL Box;256;256;SMART L - 136 kanałów;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;259.56;2;12;264.55;;;
113;CHOPIN;12;12;Trzymaj z nami;300;15;300;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;139.56;2;12;144.55;;;
114;CHOPIN;12;12;Trzymaj z nami;300;15;300;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;166.56;2;12;171.55;;;
115;CHOPIN;12;12;Trzymaj z nami;300;15;300;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;192.56;2;12;197.55;;;
116;CHOPIN;12;12;Trzymaj z nami;300;15;300;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;278.56;2;12;283.55;;;
117;CHOPIN;12;12;Trzymaj z nami;650;30;650;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;144.56;2;12;149.55;;;
118;CHOPIN;12;12;Trzymaj z nami;650;30;650;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;171.56;2;12;176.55;;;
119;CHOPIN;12;12;Trzymaj z nami;650;30;650;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;197.56;2;12;202.55;;;
120;CHOPIN;12;12;Trzymaj z nami;650;30;650;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;283.56;2;12;288.55;;;
121;CHOPIN;12;12;Trzymaj z nami;800;40;800;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;180.56;2;12;185.55;;;
122;CHOPIN;12;12;Trzymaj z nami;800;40;800;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;207.56;2;12;212.55;;;
123;CHOPIN;12;12;Trzymaj z nami;800;40;800;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;233.56;2;12;238.55;;;
124;CHOPIN;12;12;Trzymaj z nami;800;40;800;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;319.56;2;12;324.55;;;
125;CHOPIN;24;24;Trzymaj z nami;120;10;120;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;111.56;2;24;116.55;;;
126;CHOPIN;24;24;Trzymaj z nami;120;10;120;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;137.56;2;24;142.55;;;
127;CHOPIN;24;24;Trzymaj z nami;120;10;120;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;163.56;2;24;168.55;;;
128;CHOPIN;24;24;Trzymaj z nami;120;10;120;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;249.56;2;24;254.55;;;
129;CHOPIN;24;24;Trzymaj z nami;300;15;300;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;130.56;2;24;135.55;;;
130;CHOPIN;24;24;Trzymaj z nami;300;15;300;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;156.56;2;24;161.55;;;
131;CHOPIN;24;24;Trzymaj z nami;300;15;300;L Box;236;236;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;182.56;2;24;187.55;;;
132;CHOPIN;24;24;Trzymaj z nami;300;15;300;XXL Box;256;256;SMART L - 136 kanałów;cena z rabatem za e-fakturę;1;1;268.56;2;24;273.55;;;
133;CHOPIN;24;24;Trzymaj z nami;650;30;650;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;135.56;2;24;140.55;;;
134;CHOPIN;24;24;Trzymaj z nami;650;30;650;M Box;184;184;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;1;161.56;2;24;166.55;;;
